-24	1/10	0.
-239/10	1/10	0.
-119/5	1/10	0.
-237/10	1/10	0.
-118/5	1/10	0.
-47/2	1/10	0.
-117/5	1/10	0.
-233/10	1/10	0.
-116/5	1/10	0.
-231/10	1/10	0.
-23	1/10	0.
-229/10	1/10	0.
-114/5	1/10	0.
-227/10	1/10	0.
-113/5	1/10	0.
-45/2	1/10	0.
-112/5	1/10	0.
-223/10	1/10	0.
-111/5	1/10	0.
-221/10	1/10	0.
-22	1/10	0.
-219/10	1/10	0.
-109/5	1/10	0.
-217/10	1/10	0.
-108/5	1/10	0.
-43/2	1/10	0.
-107/5	1/10	0.
-213/10	1/10	0.
-106/5	1/10	0.
-211/10	1/10	0.
-21	1/10	0.
-209/10	1/10	0.
-104/5	1/10	0.
-207/10	1/10	0.
-103/5	1/10	0.
-41/2	1/10	0.
-102/5	1/10	0.
-203/10	1/10	0.
-101/5	1/10	0.
-201/10	1/10	0.
-20	1/10	0.
-199/10	1/10	0.
-99/5	1/10	0.
-197/10	1/10	0.
-98/5	1/10	0.
-39/2	1/10	0.
-97/5	1/10	0.
-193/10	1/10	0.
-96/5	1/10	0.
-191/10	1/10	0.
-19	1/10	0.
-189/10	1/10	0.
-94/5	1/10	0.
-187/10	1/10	0.
-93/5	1/10	0.
-37/2	1/10	0.
-92/5	1/10	0.
-183/10	1/10	0.
-91/5	1/10	0.
-181/10	1/10	0.
-18	1/10	0.
-179/10	1/10	0.
-89/5	1/10	0.
-177/10	1/10	0.
-88/5	1/10	0.
-35/2	1/10	0.
-87/5	1/10	0.
-173/10	1/10	0.
-86/5	1/10	0.
-171/10	1/10	0.
-17	1/10	0.
-169/10	1/10	0.
-84/5	1/10	0.
-167/10	1/10	0.
-83/5	1/10	0.
-33/2	1/10	0.
-82/5	1/10	0.
-163/10	1/10	0.
-81/5	1/10	0.
-161/10	1/10	0.
-16	1/10	0.
-159/10	1/10	0.
-79/5	1/10	0.
-157/10	1/10	0.
-78/5	1/10	0.
-31/2	1/10	0.
-77/5	1/10	0.
-153/10	1/10	0.
-76/5	1/10	0.
-151/10	1/10	0.
-15	1/10	0.
-149/10	1/10	0.
-74/5	1/10	0.
-147/10	1/10	0.
-73/5	1/10	0.
-29/2	1/10	0.
-72/5	1/10	0.
-143/10	1/10	0.
-71/5	1/10	0.
-141/10	1/10	0.
-14	1/10	0.
-139/10	1/10	0.
-69/5	1/10	0.
-137/10	1/10	0.
-68/5	1/10	0.
-27/2	1/10	0.
-67/5	1/10	0.
-133/10	1/10	0.
-66/5	1/10	0.
-131/10	1/10	0.
-13	1/10	0.
-129/10	1/10	0.
-64/5	1/10	0.
-127/10	1/10	0.
-63/5	1/10	0.
-25/2	1/10	0.
-62/5	1/10	0.
-123/10	1/10	0.
-61/5	1/10	0.
-121/10	1/10	0.
-12	1/10	0.
-119/10	1/10	0.
-59/5	1/10	0.
-117/10	1/10	0.
-58/5	1/10	0.
-23/2	1/10	0.
-57/5	1/10	0.
-113/10	1/10	0.
-56/5	1/10	0.
-111/10	1/10	0.
-11	1/10	0.
-109/10	1/10	0.
-54/5	1/10	0.
-107/10	1/10	0.
-53/5	1/10	0.
-21/2	1/10	0.
-52/5	1/10	0.
-103/10	1/10	0.
-51/5	1/10	0.
-101/10	1/10	0.
-10	1/10	0.
-99/10	1/10	0.
-49/5	1/10	0.
-97/10	1/10	0.
-48/5	1/10	0.
-19/2	1/10	0.
-47/5	1/10	0.
-93/10	1/10	0.
-46/5	1/10	0.
-91/10	1/10	0.
-9	1/10	0.
-89/10	1/10	0.
-44/5	1/10	0.
-87/10	1/10	0.
-43/5	1/10	0.
-17/2	1/10	0.
-42/5	1/10	0.
-83/10	1/10	0.
-41/5	1/10	0.
-81/10	1/10	0.
-8	1/10	0.
-79/10	1/10	0.
-39/5	1/10	0.
-77/10	1/10	0.
-38/5	1/10	0.
-15/2	1/10	0.
-37/5	1/10	0.
-73/10	1/10	0.
-36/5	1/10	0.
-71/10	1/10	0.
-7	1/10	0.
-69/10	1/10	0.
-34/5	1/10	0.
-67/10	1/10	0.
-33/5	1/10	0.
-13/2	1/10	0.
-32/5	1/10	0.
-63/10	1/10	0.
-31/5	1/10	0.
-61/10	1/10	0.
-6	1/10	0.
-59/10	1/10	0.
-29/5	1/10	0.
-57/10	1/10	0.
-28/5	1/10	0.
-11/2	1/10	0.
-27/5	1/10	0.
-53/10	1/10	0.
-26/5	1/10	0.
-51/10	1/10	0.
-5	1/10	0.
-49/10	1/10	0.
-24/5	1/10	0.
-47/10	1/10	0.
-23/5	1/10	0.
-9/2	1/10	0.
-22/5	1/10	0.
-43/10	1/10	0.
-21/5	1/10	0.
-41/10	1/10	0.
-4	1/10	0.
-39/10	1/10	0.
-19/5	1/10	0.
-37/10	1/10	0.
-18/5	1/10	0.
-7/2	1/10	0.
-17/5	1/10	0.
-33/10	1/10	0.
-16/5	1/10	0.
-31/10	1/10	0.
-3	1/10	0.
-29/10	1/10	0.
-14/5	1/10	0.
-27/10	1/10	0.
-13/5	1/10	0.
-5/2	1/10	0.
-12/5	1/10	0.
-23/10	1/10	0.
-11/5	1/10	0.
-21/10	1/10	0.
-2	1/10	0.
-19/10	1/10	0.
-9/5	1/10	0.
